,0
0,"ACCT 2000 Survey of Accounting (3)
Prereq.: MATH 1021 or MATH 1029 or equivalent. Credit will not be given for both this course and ACCT 2001 or ACCT 2002. Students in nonbusiness curricula are advised to enroll in ACCT 2000 if they are given the option of ACCT 2000 or ACCT 2001, unless they plan to pursue a business degree at a subsequent date. All students in the E. J. Ourso College of Business are required to take ACCT 2001. Introduction to the meaning of the values presented in financial statements; management accounting concepts and internal decision making; fundamentals of individual income taxes."
1,"ACCT 2001 Introductory Financial Accounting (3)
[LCCN: CACC 2113, Introduction to Financial Accounting] An honors course, ACCT 2002, is also available. Prereq.: MATH 1021 or equivalent. Credit will not be given for both this course and ACCT 2000 or ACCT 2002. Required of all students in the E. J. Ourso College of Business. Students in nonbusiness curricula are advised to enroll in ACCT 2000 if they are given the option of ACCT 2000 or ACCT 2001, unless they plan to pursue a business degree at a subsequent date. Financial accounting with emphasis on knowledge required for completion of the accounting cycle, including income measurement and financial statement preparation; accounting for current and plant assets, current and long-term liabilities, stockholders’ equity, and cash flows."
2,"ACCT 2002 Honors: Introductory Financial Accounting (3)
Same as ACCT 2001, with special honors emphasis for qualified students. Credit will not be given for this course and ACCT 2000 or ACCT 2001."
3,"ACCT 2101 Introductory Managerial Accounting (3)
[LCCN: CACC 2213, Introduction to Managerial Accounting] An honors course, ACCT 2102, is also available. Prereq.: ACCT 2000 or ACCT 2001 or equivalent. Credit will not be given for both this course and ACCT 2102. Principles and methods of accounting primarily concerned with data gathering and presentation for purposes of internal management evaluation and decision-making."
4,"ACCT 2102 Honors: Introductory Managerial Accounting (3)
Same as ACCT 2101, with special honors emphasis for qualified students. Credit will not be given for this course and ACCT 2101."
5,"ACCT 3001 Intermediate Accounting–Part I (3)
An honors course, ACCT 3002, is also available. Prereq.: grade of “C” or above in ACCT 2101; MATH 1431. Only Accounting and Finance students admitted to the College of Business or permission of department. Credit will not be given for both this course and ACCT 3002 or ACCT 7011. Accounting principles underlying preparation of financial statements; their application in measurement and reporting of selected balance-sheet items and related revenue and expense recognition."
6,"ACCT 3002 Honors: Intermediate Accounting–Part I (3)
Same as ACCT 3001, with special honors emphasis for qualified students. Credit will not be given for this course and ACCT 3001."
7,"ACCT 3021 Intermediate Accounting–Part II (3)
Prereq.: grade of “C” or above in ACCT 3001 or ACCT 3002. Continuation of ACCT 3001/ACCT 3002. Credit will not be given if credit was earned from ACCT 7011. Accounting for liabilities, income taxes, pensions, leases, stockholders’ equity, earnings per share, accounting changes and corrections of errors, and income and balance sheet presentations."
8,"ACCT 3025 Accounting Analytics (3)
Prereq.: grade of “C” or better in ACCT 2101 and ISDS 2001; or permission of department. Business and financial risk considerations and application of data analytics and visualization tools."
9,"ACCT 3121 Cost Analysis and Control (3)
[LCCN: CACC 3113, Cost Accounting (Upper Level)] Prereq.: grade of “C” or above in ACCT 3001. Nature, objectives, basic systems, and procedures of cost accounting and control for manufacturing firms; cost-volume-profit relationships; standard costs and variance analysis; direct costing; relevant costs; activity-based costing."
10,"ACCT 3122 Accounting Information Systems (3)
Prereq.: grade of “C” or above in ACCT 3001, ACCT 3025; and ISDS 1100, ISDS 1101 or ISDS 1102. Majors only or permission of department. Analysis and design of standard accounting systems; emphasis on computerized systems and internal control issues."
